"都府県
振興局","観測所
番号",種類,観測所名,カタカナ名,所在地,緯度,,経度,,"海面上の
高さ（ｍ）","観測開始
年月日"
,,,,,,度,分,度,分,,
秋田,32910,雪,鹿角,カヅノ,鹿角市花輪字荒田,40,12.9,140,47.2,123,昭52.12.1
秋田,32915,雪,五城目,ゴジョウメ,南秋田郡五城目町上樋口字屋岸,39,56.3,140,6.9,6,昭52.12.1
秋田,32927,官,秋田,アキタ,秋田市山王　秋田地方気象台,39,43,140,5.9,6,平10.3.2
秋田,32930,雪,角館,カクノダテ,仙北市角館町小勝田鵜の崎,39,36.2,140,33.4,56,昭52.12.1
秋田,32935,雪,大正寺,ダイショウジ,秋田市雄和新波字寺沢,39,31.6,140,14,20,昭52.12.1
秋田,32940,雪,本荘,ホンジョウ,由利本荘市埋田字用堰南,39,21.6,140,3.3,11,昭52.12.1
秋田,32945,雪,横手,ヨコテ,横手市横手町大樋,39,19.2,140,33.3,59,昭52.12.1
秋田,32950,雪,矢島,ヤシマ,由利本荘市矢島町城内字築館,39,14.1,140,8.2,46,昭52.12.1
秋田,32955,雪,湯の岱,ユノタイ,湯沢市秋の宮字湯の岱,38,57.6,140,31.7,335,昭52.12.1
秋田,32960,雪,湯沢,ユザワ,湯沢市金谷字樋ノ口,39,11.2,140,27.8,74,昭60.12.1
岩手,33905,雪,二戸,ニノヘ,二戸市堀野字馬場,40,17.9,141,17.9,87,昭58.11.14
岩手,33910,雪,岩手松尾,イワテマツオ,八幡平市野駄,39,57.1,141,3.9,275,平3.12.1
岩手,33915,雪,奥中山,オクナカヤマ,二戸郡一戸町小繋字西田子,40,3.6,141,13.5,430,昭54.11.13
岩手,33920,雪,葛巻,クズマキ,岩手郡葛巻町葛巻第16地割,40,2.3,141,26.2,390,昭59.10.29
岩手,33925,雪,雫石,シズクイシ,岩手郡雫石町第40地割字千刈田,39,41.8,140,58.5,195,昭58.11.18
岩手,33935,雪,湯田,ユダ,和賀郡西和賀町上野々第39地割,39,18.6,140,46.6,250,昭54.11.13
岩手,33927,官,盛岡,モリオカ,盛岡市山王町　盛岡地方気象台,39,41.9,141,9.9,155,平10.12.26
岩手,33930,雪,遠野,トオノ,遠野市松崎町白岩24地割,39,20.3,141,32.6,275,昭59.11.9
岩手,33933,官,宮古,ミヤコ,宮古市鍬ケ崎下町　宮古特別地域気象観測所,39,38.8,141,57.9,43,平10.3.2
岩手,33940,雪,北上,キタカミ,北上市芳町,39,17.3,141,6.6,61,昭59.11.26
岩手,33945,雪,祭畤,マツルベ,一関市厳美町祭畤,39,0.7,140,51.9,350,昭58.11.10
岩手,33947,官,大船渡,オオフナト,大船渡市大船渡町字赤沢　大船渡特別地域気象観測所,39,3.8,141,42.8,37,平10.3.2
岩手,33955,雪,区界,クザカイ,宮古市区界第2地割,39,39,141,21.2,760,昭60.10.25
岩手,33950,雪,一関,イチノセキ,一関市竹山町,38,56,141,7.5,32,昭57.11.18
岩手,33960,雪,久慈,クジ,久慈市小久慈町第24地割,40,10.1,141,44.9,13,昭63.11.25
岩手,33965,雪,岩泉,イワイズミ,下閉伊郡岩泉町岩泉字中家,39,50.8,141,47.7,105,平3.12.1
宮城,34900,雪,川渡,カワタビ,大崎市鳴子温泉字蓬田,38,44.6,140,45.6,170,昭54.11.14
宮城,34906,雪,駒ノ湯,コマノユ,栗原市栗駒沼倉耕英南,38,54.8,140,49.7,525,平9.10.20
宮城,34910,雪,古川,フルカワ,大崎市古川大崎字富国,38,35.9,140,54.7,28,昭63.10.31
宮城,34913,官,石巻,イシノマキ,石巻市泉町　石巻特別地域気象観測所,38,25.6,141,17.9,43,平15.3.1
宮城,34915,雪,新川,ニッカワ,仙台市青葉区新川字清水尻,38,18.2,140,38.2,265,昭59.11.9
山形,35955,官,酒田,サカタ,酒田市亀ケ崎　酒田特別地域気象観測所,38,54.5,139,50.6,3,平10.3.2
福島,36905,雪,西会津,ニシアイヅ,耶麻郡西会津町尾野本字樋ノ口原乙,37,35.3,139,39.4,165,昭55.11.6
福島,36910,雪,猪苗代,イナワシロ,耶麻郡猪苗代町大字千代田字中島,37,33.1,140,6.5,519,昭54.11.9
福島,36915,雪,只見,タダミ,南会津郡只見町只見字原,37,20.6,139,18.8,377,昭54.11.12
福島,36921,雪,金山,カネヤマ,大沼郡金山町大字中川字沖根原,37,28.4,139,31.7,296,昭55.11.6
福島,36923,官,若松,ワカマツ,会津若松市材木町　若松特別地域気象観測所,37,29.3,139,54.6,212,平10.3.2
福島,36925,雪,南郷,ナンゴウ,南会津郡南会津町界字梨木平,37,15.9,139,32.2,494,昭55.11.7
福島,36937,官,白河,シラカワ,白河市郭内　白河特別地域気象観測所,37,7.9,140,12.9,355,平10.11.26
福島,36935,雪,田島,タジマ,南会津郡南会津町田島字東下原,37,12.4,139,47.7,544,昭57.10.21
福島,36940,雪,桧枝岐,ヒノエマタ,南会津郡檜枝岐村下ノ原,37,1.4,139,23.2,930,昭57.10.21
福島,36945,雪,湯本,ユモト,岩瀬郡天栄村田良尾字持石,37,16.6,140,3.8,640,昭60.12.4
福島,36950,雪,茂庭,モニワ,福島市飯坂町茂庭字滑滝道,37,53.5,140,26.2,200,平4.10.23
福島,36955,官,福島,フクシマ,福島市松木町　福島地方気象台,37,45.5,140,28.2,67,平10.3.2
茨城,40900,官,水戸,ミト,水戸市金町　水戸地方気象台,36,22.8,140,28,29,平11.1.13
茨城,40905,官,つくば,ツクバ,つくば市長峰　高層気象台,36,3.4,140,7.5,25,平23.11.17
栃木,41900,雪,那須高原,ナスコウゲン,那須郡那須町大島,37,7.4,140,2.1,749,平元.11.1
栃木,41905,雪,土呂部,ドロブ,日光市土呂部,36,53.5,139,34.1,925,平元.11.1
栃木,41910,官,奥日光,オクニッコウ,日光市中宮祠　日光特別地域気象観測所,36,44.3,139,30,1292,平9.3.3
